Sub_Counties,Borehole_Name,Latitude,Longitude,Year_Drilled,Depth_m,Operational_Status,Yield,Complementary_Assets,Funder,WRA_Permit_Status,Power_Source,Land_Owner,Revenue_Collection_Status,Tariff,Connected_Households,Households_using_Water_Kiosks
Bahati,Wanyororo B,-0.1564394,36.1118553,2020,235,No,0,Tanks,County Government,Yes,,Community,Yes,2 Per 20 Ltrs,0,0
Bahati,GDC,-0.1751863,36.1105766,2018,,No,0,Fence,Doner Funded,Yes,KPLC,GDC,No,,0,0
Bahati,Wanyororo,-0.1655825,36.1125315,1927,,No,0,Tanks,Community Donation,No,Generator,Community ,Yes,,0,0
Bahati,Matangi Kenda,-0.1743951,36.1343066,1920,,No,0,,Settlers,No,,Community ,No,,200,0
Bahati,Old Bahati public ,-0.1548354,36.1577435,2019,202,No,0,,County Government,Yes,,Community,Yes,,0,0
Bahati,Karaga DCC,-0.1773639,36.1600164,2020,165,No,0,,County Government,Yes,,Community,Yes,,0,0
Bahati,Kabatini Borehole,-0.2149028,36.1661486,2015,120,No,0,Tanks,County Government,Yes,KPLC,Community,Yes,200 per month per household,700,0
Bahati,Johnathan Borehole,-0.2307794,36.1630906,2018,220,Yes,5,Fence Tanks Pump House Bulk Meter ,County Government,Yes,Solar,Community,Yes,200 per household per month,100,200
Bahati,Amos Borehole,-0.2316132,36.1475807,1954,180,Yes,10,Fence Pump House Tanks Bulk Meter ,County Government,Yes,KPLC & Solar,Community,Yes,3sh per 20 ltrs,0,600
Bahati,St. Peter's Nairobi,-0.2404923,36.1385972,2015,100,No,0,,County Government,Yes,KPLC,Community,Yes,,800,0
Bahati,Kiamaina Water,-0.2307489,36.1163831,2015,150,Yes,22,Tanks Bulk Meter ,County Government,Yes,KPLC,Community,Yes,5sh per 20ltrs,0,800
Bahati,Gitawa Borehole,-0.2590439,36.1256247,2016,,Yes,20,Fence Pump House Tanks Bulk Meter ,County Government,Yes,Solar,Community,Yes,,10,400
Bahati,Kagoto,-0.2503073,36.1101133,1940,,Yes,10,Fence Pump House Tanks,County Government,No,KPLC,Community,Yes,2 sh per 20 ltrs,1000,500
Bahati,Muguadhi water Project,-0.2360575,36.1820727,2020,120,Yes,5,Tanks Bulk Meter ,County Government,Yes,Solar,Individual ,Yes,100 per household per month,600,200
Bahati,Wanyororo A,-0.2522999,36.1877484,2019,178,Yes,15,Pump House Tanks Bulk Meter ,County Government,Yes,KPLC & Solar,Community,Yes,800 Households,200,600
Bahati,Menengai Community borehole,-0.2714316,36.2062594,2002,128,No,0,Pump House Tanks,Doner Funded,No,KPLC,Community,No,,400,0
Bahati,Ndondori,-0.2464266,36.2385801,2021,230,No,0,,County Government,Yes,,Chiefs camp,Yes,,500,0
Bahati,Tabuga Water Project,-0.2620161,36.1801034,1963,,Yes,8,Pump House Tanks Bulk Meter ,Settlers & County Government,Yes,KPLC & Solar,Community,Yes,100 per household per day,200,0
Bahati,Lamnyondeki ,-0.2658604,36.1664836,1997,,Yes,4,Pump House Fence Tanks Bulk Meter ,Settlers & County Government,Yes,KPLC,Community,Yes,,50,200
Kuresoi North,Sweot Water Projector ,-0.4004365,35.6838483,1945,120,Yes,3,Fence Pump House Tanks Bulk Meter ,Community Donation ,Yes,KPLC & Solar,Community ,No,,20,50
Kuresoi North,Sitoito ,-0.3919875,35.5702732,2019,230,Yes,30,Tanks Bulk Meter ,County Government,No,Solar,Community,No,,29,200
Kuresoi North,Segutony',-0.3722775,35.6803087,2020,230,No,0,,County Government,No,Solar,Community,No,,0,300
Kuresoi South,Dendwet dispensary borehole,-0.5043024,35.6976656,2018,172,Yes,20,Tanks Bulk Meter ,Community Donation ,No,Solar,Community ,No,,30,100
Kuresoi South,Kapseger,-0.4999939,35.7143916,1948,82,Yes,3,Bulk Meter  Tanks,Community Donation,No,Solar,Community,No,,50,100
Kuresoi South,Saptet Area Borehole,-0.4830343,35.707749,2020,200,Yes,36,Tanks Bulk Meter  Pump House,County Government,Yes,Solar,School ,No,,0,600
Kuresoi South,Chebara,-0.4714288,35.6830022,1944,138,No,0,Fence Tanks Bulk Meter  Pump House,Community Donation ,No,KPLC,Community,Yes,"5 per 20ltrs, 100 per household",47,150
Kuresoi South,Tulwet ,-0.4471675,35.7043365,1945,124,Yes,11,Fence Tanks Bulk Meter ,Community Donation ,No,KPLC,Community ,Yes,"Flat Rate of 300 per month, 5 per 20ltr ",205,150
Kuresoi South,Keringet town,-0.4268294,35.6859746,1992,120,Yes,25,Fence Pump House Tanks,Community Donation ,Yes,KPLC & Solar,Community ,Yes,Naruwasco tariff ,250,0
Kuresoi South,Silibwet,-0.5150544,35.7183088,2019,150,Yes,6,Fence Pump House Tanks Bulk Meter ,County Government,Yes,Solar,School ,No,,0,200
Kuresoi South,Kewamoi,-0.4254735,35.6294702,2018,200,Yes,20,Fence Tanks Bulk Meter ,County Government,Yes,Solar,Hospital,Yes,5 per 20ltrs and 200 per connected household per month ,61,200
Kuresoi South,Chemaner,-0.4357316,35.6059897,2021,230,No,0,,County Government,No,Solar,Hospital ,No,,0,300
Kuresoi South,Ikumbi Borehole,-0.4132871,35.577729,2009,60,Yes,30,Fence Tanks Bulk Meter  Pump House,County Government,No,KPLC,Hospital ,Yes,"5 per 20Ltr, 200 per month per household",40,200
Kuresoi North,Ndasiata,-0.6396884,35.6584631,2019,280,Yes,4,Fence Pump House Tanks Bulk Meter ,Community Donation ,Yes,Solar,School,Yes,200 per household ,0,100
Kuresoi North,Kitoben,-0.6334586,35.6779402,2022,238,No,0,Fence Bulk Meter ,County Government,Yes,Solar,Community,No,,0,100
Kuresoi North,Baralget ,-0.4128246,35.7354475,2019,200,Yes,4,Fence Pump House Tanks Bulk Meter ,County Government,Yes,Solar,School ,Yes,"5 per 20ltrs, ",210,50
Kuresoi North,Tarakwa,-0.411036,35.6558902,2020,180,Yes,12,Bulk Meter  Tanks Fence,County Government,Yes,Solar,School ,Yes,,85,150
Molo,Mgere Mkia,-0.2640912,35.7576079,2011,190,No,16,Fence Pump House Tanks,County Government,No,KPLC & Solar,Community,No,,0,0
Molo,Kennyatta 2,-0.2511573,35.7451727,2021,348,Yes,15,Fence Pump House Tanks Bulk Meter  Chlorination Doser ,County Government,Yes,KPLC,Community,Yes,"5 per 20ltrs, 400 per unit per month for the household connections",350,50
Molo,Kennyatta 1,-0.2472556,35.7437766,2005,150,Yes,13,Fence Pump House Bulk Meter  Chlorination Doser  Tanks,Doner Funded,Yes,KPLC,Community,Yes,5 per 20ltrs and 400 per household connection ,0,0
Molo,Kiambogo,-0.2439563,35.7612135,2016,110,Yes,10,Fence Pump House Bulk Meter  Tanks,County Government,No,KPLC,Community ,Yes,50 per unit,0,80
Molo,Green Water Project ,-0.2415487,35.7210911,1944,200,Yes,9,Fence Pump House Tanks Bulk Meter ,Doner Funded,Yes,KPLC,Community ,Yes,Expecting to charge 5 per 20ltrs ,0,100
Molo,Tayari Water Project,-0.2330588,35.7023923,1996,180,Yes,9,Fence Pump House Tanks Bulk Meter ,County Government,Yes,KPLC,Community,Yes,50 per unit per month,260,0
Molo,Tayari B Water Project,-0.2341891,35.7196755,2020,230,Yes,12,Fence Pump House Tanks Bulk Meter ,County Government,Yes,Solar,Community ,No,,0,300
Molo,Molo community Academy ,-0.2389458,35.7300659,2020,180,No,10,,County Government,Yes,Solar,School ,No,,0,0
Molo,Motoo ,-0.255582,35.7181799,2014,200,Yes,8,Tanks Bulk Meter ,County Government,Yes,Solar,School ,Yes,Naruwasco tariff ,281,100
Naivasha,Moi W Water Project,-0.817738,36.2235283,1996,140,Yes,6,Fence Pump House Tanks,Doner Funded,No,KPLC,Community,Yes,5 per 30 ltrs,300,500
Naivasha,Ngondi Community water project,-0.8205493,36.2024604,2013,240,Yes,4,Fence Pump House Tanks Bulk Meter ,Community Donation,Yes,KPLC & Solar,Community,Yes,5/ 30ltrs,5,250
Naivasha,Gonyumu Water project,-0.8242873,36.1956471,1955,280,Yes,11,Tanks,Doner Funded,No,KPLC,Individual,Yes,5 per 30 lrts,200,200
Naivasha,Tangi tati water project,-0.7985301,36.212557,1995,225,Yes,10,Fence Pump House Tanks,Doner Funded,No,KPLC,Individual,Yes,5 / 30 ltrs,0,400
Naivasha,Kipkony',-0.7568409,36.2276834,1994,,Yes,10,Fence Pump House Tanks,Community Donation,No,KPLC,Individual,Yes,5 per 30 ltrs,123,500
